Index,Year,Name,RuTerm,RuTerm_filtered,YAKE
107,2015,Artemova,"слово, парус, форма, текст, предметная область, латинские парус, такой образ, прямые паруса, построение онтологии, специфика","слово, парус, форма, текст, предметная область, латинские парус, такой образ, прямые паруса, построение онтологии, специфика","паруса, Латинские паруса, Российской Федерации, Университет ИТМО, предметной области, слова, текстов, Таким образом, Латинские, терминов"
108,2015,Belkin,"область знаний, историческая демография, семантическая сеть, элементарные знания, сложные знания, предметная область, фрагменты, использование, сеть, классы","область знаний, историческая демография, семантическая сеть, элементарные знания, сложные знания, предметная область, фрагменты, использование, сеть, классы","области знаний, знаний, области, Историческая демография, сети, элементарных знаний, Историческая, сети области, предметной области, сетей"
109,2015,Boyarsky,"словосочетание, прил, предлог, предложный оборот, слово, оборот, глагол, число, классы, союз","словосочетание, прил, предлог, предложный оборот, слово, оборот, глагол, число, классы, союз","следует сущ, сущ, стоит сущ, словосочетанием следует, прил, предлог, словосочетания стоит, словосочетанием, следует, стоит"
110,2015,Erkimbaev,"рис, онтология, uds, свойства, класс, материалы, форма, унт, онтологии, нано-объекты","онтология, свойства, класс, материалы, форма, онтологии, нано-объекты, классы, химия, состав","UDS, Онтологии, классов, свойств, рис, например, наноматериалов, области, ChEBI, описания"
111,2015,Kanygin,"си ран, фано, артефакты, знание, контекстно-ориентированная онтология, рис, рид ран, сотрудники, асу, частность","фано, артефакты, знание, контекстно-ориентированная онтология, сотрудники, частность, объекты, житель города, доктор наук, представление","РАН, РИД РАН, АСУ РИД, знания, ДОКТОР НАУК, ФАНО, ЖИТЕЛЬ ГОРОДА, НАУК, РИД, АСУ"
112,2015,Leontyeva,"онтология, система, текст, системы, понимание, анализ, концепты, онтологическая семантика, структура, ипс","онтология, система, текст, системы, понимание, анализ, концепты, онтологическая семантика, структура, понятия","текста, Онтологии, системы АПТ, АПТ, знаний, понимания текста, системы, Онтологии знаний, понимания, текстов"
113,2015,Pevzner,"сообщение, пользователь, разное время, события, поток, текстовые сообщения, подобные сообщения, кластер пользователя, входное поток, читатель","сообщение, пользователь, разное время, события, поток, текстовые сообщения, подобные сообщения, кластер пользователя, входное поток, читатель","потока, ВАЛЕРИЯ РУБАШКИНА, СВЕТЛОЙ ПАМЯТИ, ПАМЯТИ МОЕГО, МОЕГО ДРУГА, ДРУЖЕСТВЕННОГО ОППОНЕНТА, ОППОНЕНТА ВАЛЕРИЯ, web sites, сообщения, пользователя"
114,2015,Pronoza,"данная работа, машинное обучение, опорные векторы, качество еды, таблица, рестораны, отзывы, метод, наивный байесовский классификатор, признаки","данная работа, машинное обучение, опорные векторы, таблица, рестораны, отзывы, метод, наивный байесовский классификатор, признаки, обслуживание","анализа тональности, отзывов, признаков, анализа, аспектов, корпуса, корпуса отзывов, тональности отзывов, данной работе, анализа корпуса"
115,2015,Salin,"семантическая кластеризация, гипертекстовая структура, статистика переходов, гипертекстовые документы, основа, методы, разработка, работа, объекты, метод","семантическая кластеризация, гипертекстовая структура, статистика переходов, гипертекстовые документы, основа, методы, разработка, работа, объекты, метод","семантической кластеризации, кластеризации, гипертекстовой структуры, семантической, переходов, статистики переходов, гипертекстовой, кластеризации гипертекстовой, структуры, метод семантической"
116,2015,Zakharov,"корпус, русский язык, корпусная лингвистика, корпусы, словарь, слово, объём, мастер, большие корпусы, частота","корпус, русский язык, корпусная лингвистика, корпусы, словарь, слово, объём, мастер, большие корпусы, частота","данных, русского языка, языка, больших, НКРЯ, Google Books, корпусов, данные, сочетаний, больших корпусов"
117,2016,Azarova,"русский язык, синсеты, yarn, russnet, два ресурсов, интеграция, pwn, такой образ, настоящее время, тезаурус","русский язык, синсеты, интеграция, такой образ, настоящее время, тезаурус, ресурс, рамки, прилагательные, наречия","PWN, русского языка, языка, YARN, ресурсов, тыс, данных, RussNet, тезаурус, проекта"
118,2016,Godgildieva,"русский язык, глагол, семантические роли, пример, актанты, предложения, глаголы, второе порядок, описание, лексема","русский язык, глагол, семантические роли, пример, актанты, предложения, глаголы, второе порядок, описание, лексема","русского языка, языка, Verbalex, русского, глагола, чешского языка, словаря, словаря валентностей, валентности, семантических ролей"
119,2016,Khokhlova,"корпус, русский язык, тексты, корпусы, интернет, разные языки, список, сайты, объём, домены","корпус, русский язык, тексты, корпусы, интернет, разные языки, список, сайты, объём, домены","русского языка, Araneum Russicum, млн слов, русского, текстов, корпус, языка, слов, корпуса, тексты"
120,2016,Masevich,"частотное поведение, русский язык, война, события, значение, число, годы, время, лексические единицы, пример","частотное поведение, русский язык, война, события, значение, число, годы, время, лексические единицы, пример","Ngram Viewer, Google books, частотного поведения, Books Ngram, лексических единиц, Google, русского языка, текстов, Войны, исследования"
121,2016,Moskvina,"gender=?g, number=?n, правила, предложения, категориальная грамматика, pers=?p, nltk, синтаксический анализ, русский язык, разбор","правила, предложения, категориальная грамматика, синтаксический анализ, русский язык, разбор, грамматика, число, слово, основа","NUMBER, CASE, GENDER, NLTK, PERS, правила, синтаксического, грамматики, например, предложения"
122,2016,Pivovarova,"n, adj, термины, данный исследование, prep, франц, русский языки, переводные эквиваленты, два существительных, частота встречаемости","термины, данный исследование, франц, русский языки, переводные эквиваленты, частота встречаемости, корпус текстов, установление, терминологические словосочетания, переводные соответствия","Adj, корпуса текстов, текстов, переводных, корпуса, данного исследования, терминов-кандидатов, терминологических, термины, выделения"
123,2016,Popov,"вес, синтаксический анализ, синтаксическая связь, лексическая сочетаемость, критерий, выполнение, синтаксические связи, выбор, взвешивание, алгоритм","синтаксический анализ, синтаксическая связь, лексическая сочетаемость, критерий, выполнение, синтаксические связи, выбор, взвешивание, алгоритм, такой образ","синтаксического анализа, синтаксической связи, структуры, анализа, CYK, вес, алгоритм CYK, составляющих, синтаксических связей, синтаксического"
124,2017,Blinova,"петровы, сидоровы, именные группы, кузнецовы, n.gen, формы pl.pej, тип, конструкция, элементы контекста, результаты поиска","петровы, сидоровы, именные группы, кузнецовы, конструкция, элементы контекста, результаты поиска, настоящая статья, примеры, множественность","типа, Pl.Pej, именных групп, форм, множественного пейоративного, формы, сидоровых, множественного, групп, форм Pl.Pej"
125,2017,Boyarsky,"словосочетание, существительное, слово, анализ, сочетание предлога, ближайшее контекст, удалённый контекст, предлог, корень, класс","словосочетание, существительное, слово, анализ, сочетание предлога, ближайшее контекст, удалённый контекст, предлог, корень, класс","словосочетание, ближайшем контексте, предлога, следует слово, сочетанием предлога, слово, является словосочетание, контексте, ним следует, Наречные обороты"
126,2017,Dubovik,"тексты, существительное, текст, публицистический стиль, стиль, художественные тексты, таблица, деловое стиль, данный параметр, работа","тексты, существительное, текст, публицистический стиль, стиль, художественные тексты, таблица, деловое стиль, данный параметр, работа","текстов, стиля, стилей, тексты, стиль, делового стиля, значение, существительное, текста, текстах"
